filename,comment_amount,code_amount,ratio,classComment,methodComment,methodBody,constructorComment,constructorBody,fieldComment,fieldBody,classCommentLineLength,classCommentSymbolLength
TypeLiteralTest.java,22,156,0.14102564102564102," @author crazybob@google.com (Bob Lee) ","/**
 * Unlike Key, TypeLiteral retains full type information and differentiates between {@code
 * int.class} and {@code Integer.class}.
 */
 
","{
    Class[] primitives = new Class[] { boolean.class, byte.class, short.class, int.class, long.class, float.class, double.class, char.class, void.class };
    Class[] wrappers = new Class[] { Boolean.class, Byte.class, Short.class, Integer.class, Long.class, Float.class, Double.class, Character.class, Void.class };
    for (int t = 0; t < primitives.length; t++) {
        @SuppressWarnings(""unchecked"")
        TypeLiteral primitiveTl = TypeLiteral.get(primitives[t]);
        @SuppressWarnings(""unchecked"")
        TypeLiteral wrapperTl = TypeLiteral.get(wrappers[t]);
        assertFalse(primitiveTl.equals(wrapperTl));
        assertEquals(primitives[t], primitiveTl.getType());
        assertEquals(wrappers[t], wrapperTl.getType());
        assertEquals(primitives[t], primitiveTl.getRawType());
        assertEquals(wrappers[t], wrapperTl.getRawType());
    }
} 
",,,,,1,39
KeyTest.java,20,281,0.0711743772241993," @author crazybob@google.com (Bob Lee) ","/**
 * Key canonicalizes {@link int.class} to {@code Integer.class}, and won't expose wrapper types.
 */
 
/**
 * Test for issue 186
 */
 
","{
    Class[] primitives = new Class[] { boolean.class, byte.class, short.class, int.class, long.class, float.class, double.class, char.class, void.class };
    Class[] wrappers = new Class[] { Boolean.class, Byte.class, Short.class, Integer.class, Long.class, Float.class, Double.class, Character.class, Void.class };
    for (int t = 0; t < primitives.length; t++) {
        @SuppressWarnings(""unchecked"")
        Key primitiveKey = Key.get(primitives[t]);
        @SuppressWarnings(""unchecked"")
        Key wrapperKey = Key.get(wrappers[t]);
        assertEquals(primitiveKey, wrapperKey);
        assertEquals(wrappers[t], primitiveKey.getRawType());
        assertEquals(wrappers[t], wrapperKey.getRawType());
        assertEquals(wrappers[t], primitiveKey.getTypeLiteral().getType());
        assertEquals(wrappers[t], wrapperKey.getTypeLiteral().getType());
    }
    Key<Integer> integerKey = Key.get(Integer.class);
    Key<Integer> integerKey2 = Key.get(Integer.class, Named.class);
    Key<Integer> integerKey3 = Key.get(Integer.class, Names.named(""int""));
    Class<Integer> intClassLiteral = int.class;
    assertEquals(integerKey, Key.get(intClassLiteral));
    assertEquals(integerKey2, Key.get(intClassLiteral, Named.class));
    assertEquals(integerKey3, Key.get(intClassLiteral, Names.named(""int"")));
    Type intType = int.class;
    assertEquals(integerKey, Key.get(intType));
    assertEquals(integerKey2, Key.get(intType, Named.class));
    assertEquals(integerKey3, Key.get(intType, Names.named(""int"")));
    TypeLiteral<Integer> intTypeLiteral = TypeLiteral.get(int.class);
    assertEquals(integerKey, Key.get(intTypeLiteral));
    assertEquals(integerKey2, Key.get(intTypeLiteral, Named.class));
    assertEquals(integerKey3, Key.get(intTypeLiteral, Names.named(""int"")));
} 
{
    ParameterizedType listOfTType = (ParameterizedType) getClass().getDeclaredMethod(""parameterizedWithVariable"", List.class).getGenericParameterTypes()[0];
    TypeLiteral<?> listOfT = TypeLiteral.get(listOfTType);
    try {
        Key.get(listOfT);
        fail(""Guice should not allow keys for java.util.List<T>"");
    } catch (ConfigurationException e) {
        assertContains(e.getMessage(), ""java.util.List<T> cannot be used as a key; It is not fully specified."");
    }
    TypeVariable tType = (TypeVariable) listOfTType.getActualTypeArguments()[0];
    TypeLiteral<?> t = TypeLiteral.get(tType);
    try {
        Key.get(t);
        fail(""Guice should not allow keys for T"");
    } catch (ConfigurationException e) {
        assertContains(e.getMessage(), ""T cannot be used as a key; It is not fully specified."");
    }
} 
",,,,,1,39
RequestInjectionTest.java,31,201,0.15422885572139303," @author crazybob@google.com (Bob Lee) ",,,,,,,1,39
ProvidesIntoTest.java,20,373,0.05361930294906166,"
 * Tests the various @ProvidesInto annotations.
 *
 * @author sameb@google.com (Sam Berlin)
 ",,,,,,,3,87
ProvidersTest.java,7,125,0.056,"
 * Unit tests for {@link Providers}.
 *
 * @author Kevin Bourrillion (kevinb9n@gmail.com)
 ",,,,,,,3,85
OverrideModuleTest.java,21,732,0.028688524590163935," @author sberlin@gmail.com (Sam Berlin) ",,,,,,,1,40
TypesTest.java,23,159,0.14465408805031446," @author jessewilson@google.com (Jesse Wilson) ","/**
 * Ensure that owning types are required when necessary, and forbidden otherwise.
 */
 
","{
    try {
        Types.newParameterizedType(Owning.class, String.class);
        fail();
    } catch (IllegalArgumentException expected) {
        assertContains(expected.getMessage(), ""No owner type for enclosed "" + Owning.class);
    }
    try {
        Types.newParameterizedTypeWithOwner(Object.class, Set.class, String.class);
        fail(""Expected IllegalArgumentException"");
    } catch (IllegalArgumentException expected) {
        assertContains(expected.getMessage(), ""Owner type for unenclosed "" + Set.class);
    }
} 
",,,,,1,47
NoopOverrideTest.java,16,11,1.4545454545454546," @author jessewilson@google.com (Jesse Wilson) ",,,,,,,1,47
TypeConversionTest.java,16,470,0.03404255319148936," @author crazybob@google.com (Bob Lee) ",,,,,,,1,39
JndiProvider.java,16,25,0.64,,"/**
 * Creates a JNDI provider for the given type and name.
 */
 
","{
    return new JndiProvider<T>(type, name);
} 
",,,,,1,0
ClientServiceWithGuice.java,18,55,0.32727272727272727," @author crazybob@google.com (Bob Lee) ",,,,,,,1,39
JndiProviderClient.java,17,22,0.7727272727272727,,,,,,,,1,0
ClientServiceWithFactories.java,18,53,0.33962264150943394," @author crazybob@google.com (Bob Lee) ",,,,,,,1,39
ClientServiceWithDependencyInjection.java,18,54,0.3333333333333333," @author crazybob@google.com (Bob Lee) ",,,,,,,1,39
ClientServiceWithGuiceDefaults.java,18,51,0.35294117647058826," @author crazybob@google.com (Bob Lee) ",,,,,,,1,39
UniqueAnnotationsTest.java,16,14,1.1428571428571428," @author jessewilson@google.com (Jesse Wilson) ",,,,,,,1,47
WeakKeySetUtils.java,21,68,0.3088235294117647,"
 * Utilities for verifying com.google.inject.internal.WeakKeySet is not leaking memory.
 *
 * @author dweis@google.com (Daniel Weis)
 ",,,,,,,3,128
LineNumbersTest.java,18,133,0.13533834586466165," @author jessewilson@google.com (Jesse Wilson) ",,,,,,,1,47
Collector.java,20,31,0.6451612903225806,,,,,,,,1,0
SpiUtils.java,85,1133,0.07502206531332745,"
 * Utilities for testing the Multibinder & MapBinder extension SPI.
 *
 * @author sameb@google.com (Sam Berlin)
 | The kind of test we should perform. A live Injector, a raw Elements (Module) test, or both. | The kind of binding. | The result of the binding. ","/**
 * Asserts that MapBinderBinding visitors for work correctly.
 *
 * @param <T> The type of the binding
 * @param mapKey The key the map belongs to.
 * @param keyType the TypeLiteral of the key of the map
 * @param valueType the TypeLiteral of the value of the map
 * @param modules The modules that define the mapbindings
 * @param visitType The kind of test we should perform. A live Injector, a raw Elements (Module)
 *     test, or both.
 * @param allowDuplicates If duplicates are allowed.
 * @param expectedMapBindings The number of other mapbinders we expect to see.
 * @param results The kind of bindings contained in the mapbinder.
 */
 
/**
 * Asserts that MultibinderBinding visitors work correctly.
 *
 * @param <T> The type of the binding
 * @param setKey The key the set belongs to.
 * @param elementType the TypeLiteral of the element
 * @param modules The modules that define the multibindings
 * @param visitType The kind of test we should perform. A live Injector, a raw Elements (Module)
 *     test, or both.
 * @param allowDuplicates If duplicates are allowed.
 * @param expectedMultibindings The number of other multibinders we expect to see.
 * @param results The kind of bindings contained in the multibinder.
 */
 
/**
 * Asserts that OptionalBinderBinding visitors for work correctly.
 *
 * @param <T> The type of the binding
 * @param keyType The key OptionalBinder is binding
 * @param modules The modules that define the bindings
 * @param visitType The kind of test we should perform. A live Injector, a raw Elements (Module)
 *     test, or both.
 * @param expectedOtherOptionalBindings the # of other optional bindings we expect to see.
 * @param expectedDefault the expected default binding, or null if none
 * @param expectedActual the expected actual binding, or null if none
 * @param expectedUserLinkedActual the user binding that is the actual binding, used if neither
 *     the default nor actual are set and a user binding existed for the type.
 */
 
/**
 * Returns the subset of elements that have keys, indexed by them.
 */
 
","{
    if (visitType == null) {
        fail(""must test something"");
    }
    if (visitType == BOTH || visitType == INJECTOR) {
        mapInjectorTest(mapKey, keyType, valueType, modules, allowDuplicates, expectedMapBindings, results);
    }
    if (visitType == BOTH || visitType == MODULE) {
        mapModuleTest(mapKey, keyType, valueType, modules, allowDuplicates, expectedMapBindings, results);
    }
} 
{
    if (visitType == null) {
        fail(""must test something"");
    }
    if (visitType == BOTH || visitType == INJECTOR) {
        setInjectorTest(setKey, elementType, modules, allowDuplicates, expectedMultibindings, results);
    }
    if (visitType == BOTH || visitType == MODULE) {
        setModuleTest(setKey, elementType, modules, allowDuplicates, expectedMultibindings, results);
    }
} 
{
    if (visitType == null) {
        fail(""must test something"");
    }
    // expect twice as many bindings because of java.util.Optional
    expectedOtherOptionalBindings *= 2;
    if (visitType == BOTH || visitType == INJECTOR) {
        optionalInjectorTest(keyType, modules, expectedOtherOptionalBindings, expectedDefault, expectedActual, expectedUserLinkedActual);
    }
    if (visitType == BOTH || visitType == MODULE) {
        optionalModuleTest(keyType, modules, expectedOtherOptionalBindings, expectedDefault, expectedActual, expectedUserLinkedActual);
    }
} 
{
    ImmutableMap.Builder<Key<?>, Binding<?>> builder = ImmutableMap.builder();
    for (Element element : elements) {
        if (element instanceof Binding) {
            builder.put(((Binding) element).getKey(), (Binding) element);
        }
    }
    return builder.build();
} 
",,,,,4,253
RealElementTest.java,16,27,0.5925925925925926," Tests for {@link com.google.inject.internal.RealElement}. ",,,,,,,1,59
ProxyFactoryTest.java,16,147,0.10884353741496598," @author crazybob@google.com (Bob Lee) ",,,,,,,1,39
WeakKeySetTest.java,52,454,0.1145374449339207,"
 * Tests for {@link WeakKeySet}.
 *
 * <p>Multibinding specific tests can be found in MultibinderTest and MapBinderTest.
 *
 * @author dweis@google.com (Daniel Weis)
 ",,,,,,,5,157
MoreTypesTest.java,16,39,0.41025641025641024," @author schmitt@google.com (Peter Schmitt) ",,,,,,,1,44
MapBinderTest.java,94,1351,0.0695780903034789," @author dpb@google.com (David P. Baker) | Our implementation maintains order, but doesn't guarantee it in the API spec. | A simple module with a MapBinder with two entries. ","/**
 * Check that the dependencies are correct.
 */
 
/**
 * Check that the dependencies are correct in the Tool Stage.
 */
 
/**
 * With overrides, we should get the union of all map bindings.
 */
 
/**
 * With overrides, we should get the union of all map bindings.
 */
 
/**
 * Ensure there are no initialization race conditions in basic map injection.
 */
 
/**
 * Ensure there are no initialization race conditions in provider multimap injection.
 */
 
/**
 * Will find and return the {@link com.google.inject.spi.Element} that is a {@link
 * ProviderMapEntry} with a key that matches the one supplied by the user in {@code k}.
 *
 * <p>Will return {@code null} if it cannot be found.
 */
 
/**
 * Will find and return the {@link com.google.inject.spi.Element} that is an {@link
 * InstanceBinding} and binds {@code vToFind}.
 */
 
/**
 * Given an {@link Iterable} of elements, return the one that is a {@link MapBinderBinding}, or
 * {@code null} if it cannot be found.
 */
 
","{
    Injector injector = Guice.createInjector(new AbstractModule() {

        @Override
        protected void configure() {
            MapBinder<Integer, String> mapBinder = MapBinder.newMapBinder(binder(), Integer.class, String.class);
            mapBinder.addBinding(1).toInstance(""A"");
            mapBinder.addBinding(2).to(Key.get(String.class, Names.named(""b"")));
            bindConstant().annotatedWith(Names.named(""b"")).to(""B"");
        }
    });
    Binding<Map<Integer, String>> binding = injector.getBinding(new Key<Map<Integer, String>>() {
    });
    HasDependencies withDependencies = (HasDependencies) binding;
    Set<Dependency<?>> actualDependencies = withDependencies.getDependencies();
    // We expect two dependencies, because the dependencies are annotated with
    // Element, which has a uniqueId, it's difficult to directly compare them.
    // Instead we will manually compare all the fields except the uniqueId
    assertEquals(2, actualDependencies.size());
    for (Dependency<?> dependency : actualDependencies) {
        Key<?> key = dependency.getKey();
        assertEquals(new TypeLiteral<String>() {
        }, key.getTypeLiteral());
        Annotation annotation = dependency.getKey().getAnnotation();
        assertTrue(annotation instanceof Element);
        Element element = (Element) annotation;
        assertEquals("""", element.setName());
        assertEquals(Element.Type.MAPBINDER, element.type());
        assertEquals(""java.lang.Integer"", element.keyType());
    }
    Set<String> elements = Sets.newHashSet();
    elements.addAll(recurseForDependencies(injector, withDependencies));
    assertEquals(ImmutableSet.of(""A"", ""B""), elements);
} 
{
    Injector injector = Guice.createInjector(Stage.TOOL, new AbstractModule() {

        @Override
        protected void configure() {
            MapBinder<Integer, String> mapBinder = MapBinder.newMapBinder(binder(), Integer.class, String.class);
            mapBinder.addBinding(1).toInstance(""A"");
            mapBinder.addBinding(2).to(Key.get(String.class, Names.named(""b"")));
            bindConstant().annotatedWith(Names.named(""b"")).to(""B"");
        }
    });
    Binding<Map<Integer, String>> binding = injector.getBinding(new Key<Map<Integer, String>>() {
    });
    HasDependencies withDependencies = (HasDependencies) binding;
    Set<Dependency<?>> actualDependencies = withDependencies.getDependencies();
    // We expect two dependencies, because the dependencies are annotated with
    // Element, which has a uniqueId, it's difficult to directly compare them.
    // Instead we will manually compare all the fields except the uniqueId
    assertEquals(2, actualDependencies.size());
    for (Dependency<?> dependency : actualDependencies) {
        Key<?> key = dependency.getKey();
        assertEquals(new TypeLiteral<String>() {
        }, key.getTypeLiteral());
        Annotation annotation = dependency.getKey().getAnnotation();
        assertTrue(annotation instanceof Element);
        Element element = (Element) annotation;
        assertEquals("""", element.setName());
        assertEquals(Element.Type.MAPBINDER, element.type());
        assertEquals(""java.lang.Integer"", element.keyType());
    }
} 
{
    Module ab = new AbstractModule() {

        @Override
        protected void configure() {
            MapBinder<String, String> multibinder = MapBinder.newMapBinder(binder(), String.class, String.class);
            multibinder.addBinding(""a"").toInstance(""A"");
            multibinder.addBinding(""b"").toInstance(""B"");
        }
    };
    Module cd = new AbstractModule() {

        @Override
        protected void configure() {
            MapBinder<String, String> multibinder = MapBinder.newMapBinder(binder(), String.class, String.class);
            multibinder.addBinding(""c"").toInstance(""C"");
            multibinder.addBinding(""d"").toInstance(""D"");
        }
    };
    Module ef = new AbstractModule() {

        @Override
        protected void configure() {
            MapBinder<String, String> multibinder = MapBinder.newMapBinder(binder(), String.class, String.class);
            multibinder.addBinding(""e"").toInstance(""E"");
            multibinder.addBinding(""f"").toInstance(""F"");
        }
    };
    Module abcd = Modules.override(ab).with(cd);
    Injector injector = Guice.createInjector(abcd, ef);
    assertEquals(mapOf(""a"", ""A"", ""b"", ""B"", ""c"", ""C"", ""d"", ""D"", ""e"", ""E"", ""f"", ""F""), injector.getInstance(Key.get(mapOfString)));
    assertMapVisitor(Key.get(mapOfString), stringType, stringType, setOf(abcd, ef), BOTH, false, 0, instance(""a"", ""A""), instance(""b"", ""B""), instance(""c"", ""C""), instance(""d"", ""D""), instance(""e"", ""E""), instance(""f"", ""F""));
} 
{
    Module abc = new AbstractModule() {

        @Override
        protected void configure() {
            MapBinder<String, String> multibinder = MapBinder.newMapBinder(binder(), String.class, String.class);
            multibinder.addBinding(""a"").toInstance(""A"");
            multibinder.addBinding(""b"").toInstance(""B"");
            multibinder.addBinding(""c"").toInstance(""C"");
            multibinder.permitDuplicates();
        }
    };
    Module cd = new AbstractModule() {

        @Override
        protected void configure() {
            MapBinder<String, String> multibinder = MapBinder.newMapBinder(binder(), String.class, String.class);
            multibinder.addBinding(""c"").toInstance(""C"");
            multibinder.addBinding(""d"").toInstance(""D"");
            multibinder.permitDuplicates();
        }
    };
    Module ef = new AbstractModule() {

        @Override
        protected void configure() {
            MapBinder<String, String> multibinder = MapBinder.newMapBinder(binder(), String.class, String.class);
            multibinder.addBinding(""e"").toInstance(""E"");
            multibinder.addBinding(""f"").toInstance(""F"");
            multibinder.permitDuplicates();
        }
    };
    Module abcd = Modules.override(abc).with(cd);
    Injector injector = Guice.createInjector(abcd, ef);
    assertEquals(mapOf(""a"", ""A"", ""b"", ""B"", ""c"", ""C"", ""d"", ""D"", ""e"", ""E"", ""f"", ""F""), injector.getInstance(Key.get(mapOfString)));
    assertMapVisitor(Key.get(mapOfString), stringType, stringType, setOf(abcd, ef), BOTH, true, 0, instance(""a"", ""A""), instance(""b"", ""B""), instance(""c"", ""C""), instance(""d"", ""D""), instance(""e"", ""E""), instance(""f"", ""F""));
} 
{
    final AtomicReference<Map<String, String>> injectedMap = new AtomicReference<Map<String, String>>();
    final Object anObject = new Object() {

        @Inject
        void initialize(Map<String, String> map) {
            injectedMap.set(map);
        }
    };
    Module abc = new AbstractModule() {

        @Override
        protected void configure() {
            requestInjection(anObject);
            MapBinder<String, String> multibinder = MapBinder.newMapBinder(binder(), String.class, String.class);
            multibinder.addBinding(""a"").toInstance(""A"");
            multibinder.addBinding(""b"").toInstance(""B"");
            multibinder.addBinding(""c"").toInstance(""C"");
        }
    };
    Guice.createInjector(abc);
    assertEquals(mapOf(""a"", ""A"", ""b"", ""B"", ""c"", ""C""), injectedMap.get());
} 
{
    final AtomicReference<Map<String, Set<Provider<String>>>> injectedMultimap = new AtomicReference<Map<String, Set<Provider<String>>>>();
    final Object anObject = new Object() {

        @Inject
        void initialize(Map<String, Set<Provider<String>>> multimap) {
            injectedMultimap.set(multimap);
        }
    };
    Module abc = new AbstractModule() {

        @Override
        protected void configure() {
            requestInjection(anObject);
            MapBinder<String, String> multibinder = MapBinder.newMapBinder(binder(), String.class, String.class);
            multibinder.permitDuplicates();
            multibinder.addBinding(""a"").toInstance(""A"");
            multibinder.addBinding(""b"").toInstance(""B"");
            multibinder.addBinding(""c"").toInstance(""C"");
        }
    };
    Guice.createInjector(abc);
    Map<String, String> map = Maps.transformValues(injectedMultimap.get(), stringProvidersSet -> Iterables.getOnlyElement(stringProvidersSet).get());
    assertEquals(mapOf(""a"", ""A"", ""b"", ""B"", ""c"", ""C""), map);
} 
{
    for (com.google.inject.spi.Element element : elements) {
        if (element instanceof ProviderInstanceBinding) {
            javax.inject.Provider<?> usp = ((ProviderInstanceBinding<?>) element).getUserSuppliedProvider();
            if (usp instanceof ProviderMapEntry) {
                ProviderMapEntry<?, ?> pme = (ProviderMapEntry<?, ?>) usp;
                // Check if the key from the ProviderMapEntry matches the one we're looking for
                if (kToFind.equals(pme.getKey())) {
                    return element;
                }
            }
        }
    }
    // No matching ProviderMapEntry found
    return null;
} 
{
    for (com.google.inject.spi.Element element : elements) {
        if (element instanceof InstanceBinding) {
            Object instanceFromBinding = ((InstanceBinding<?>) element).getInstance();
            if (vToFind.equals(instanceFromBinding)) {
                return element;
            }
        }
    }
    // No matching binding found
    return null;
} 
{
    final Collector collector = new Collector();
    for (com.google.inject.spi.Element element : elements) {
        element.acceptVisitor(new DefaultElementVisitor<Void>() {

            @Override
            public <T> Void visit(Binding<T> binding) {
                binding.acceptTargetVisitor(collector);
                return null;
            }
        });
    }
    return collector.mapbinding;
} 
",,,,,1,174
CycleDetectingLockTest.java,44,175,0.25142857142857145,,,,,,,,1,0
